match_id,player1,player2,elapsed_time,set_no,game_no,point_no,p1_sets,p2_sets,p1_games,p2_games,p1_score,p2_score,server,serve_no,point_victor,p1_points_won,p2_points_won,game_victor,set_victor,p1_ace,p2_ace,p1_winner,p2_winner,winner_shot_type,p1_double_fault,p2_double_fault,p1_unf_err,p2_unf_err,p1_net_pt,p2_net_pt,p1_net_pt_won,p2_net_pt_won,p1_break_pt,p2_break_pt,p1_break_pt_won,p2_break_pt_won,p1_break_pt_missed,p2_break_pt_missed,p1_distance_run,p2_distance_run,rally_count,speed_mph,serve_width,serve_depth,return_depth
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:00,1,1,1,0,0,0,0,0,0,2,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.661,4.341,1,111,W,CTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:00:25,1,1,2,0,0,0,0,0,15,2,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.502,22.307,4,126,BW,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:01:19,1,1,3,0,0,0,0,15,15,2,2,1,2,1,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.786,2.926,2,102,BW,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:02:17,1,1,4,0,0,0,0,30,15,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.907,4.209,1,120,BC,CTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:02,1,1,5,0,0,0,0,30,30,2,1,1,3,2,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,12.881,8.676,2,108,W,CTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:03:38,1,1,6,0,0,0,0,40,30,2,1,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,7.293,7.704,1,127,W,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:05,1,1,7,0,0,0,0,40,40,2,1,2,3,4,0,0,0,0,0,1,F,0,0,0,0,0,1,0,1,0,0,0,0,0,0,23.283,19.531,5,111,W,CTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:04:41,1,1,8,0,0,0,0,40,AD,2,1,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.179,24.58,6,124,BW,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:03,1,1,9,0,0,0,0,40,40,2,1,2,4,5,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,29.115,28.599,7,127,C,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:06:43,1,1,10,0,0,0,0,40,AD,2,1,2,4,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.941,7.816,1,125,W,CTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:08:02,1,2,11,0,0,0,1,0,0,1,1,2,4,7,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5.54,10.329,2,123,BW,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:08:28,1,2,12,0,0,0,1,0,15,1,1,2,4,8,0,0,0,0,0,1,F,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.819,20.001,6,119,C,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:09:22,1,2,13,0,0,0,1,0,30,1,2,2,4,9,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,21.482,23.589,6,107,B,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:10:25,1,2,14,0,0,0,1,0,40,1,1,1,5,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,9.876,15.338,3,121,C,CTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:10:57,1,2,15,0,0,0,1,15,40,1,1,1,6,9,0,0,0,0,1,0,F,0,0,0,0,0,0,0,0,0,1,0,0,0,1,7.638,7.393,3,128,BC,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:11:29,1,2,16,0,0,0,1,30,40,1,2,2,6,10,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,21.88,18.532,4,101,BW,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:12:45,1,3,17,0,0,0,2,0,0,2,1,2,6,11,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,20.078,18.607,5,122,C,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:13:23,1,3,18,0,0,0,2,0,15,2,2,1,7,11,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,29.805,34.701,8,107,C,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:14:24,1,3,19,0,0,0,2,15,15,2,2,1,8,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.981,29.821,8,85,C,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:15:30,1,3,20,0,0,0,2,30,15,2,2,2,8,12,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,93.364,89.698,21,88,BW,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:17:03,1,3,21,0,0,0,2,30,30,2,1,2,8,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,48.241,32.83,5,121,C,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:18:02,1,3,22,0,0,0,2,30,40,2,1,2,8,14,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.669,0.492,1,121,C,NCTL,NA
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:19:49,1,4,23,0,0,0,3,0,0,1,1,2,8,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.278,14.266,2,108,W,CTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:20:15,1,4,24,0,0,0,3,0,15,1,1,1,9,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.783,7.056,1,128,BW,NCTL,ND
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:20:38,1,4,25,0,0,0,3,15,15,1,1,2,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.865,26.119,6,128,C,NCTL,D
2023-wimbledon-1701,Carlos Alcaraz,Novak Djokovic,0:21:15,1,4,26,0,0,0,3,15,30,1,1,2,9,17,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,27.744,38.992,8,117,C,NCTL,D
